<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLY.US,D,20220404,000000,53.6187,55.2027,51.1788,51.4346,287383.33793495,0
WLY.US,D,20220405,000000,51.4247,52.0249,50.2441,51.3165,254797.38343727,0
WLY.US,D,20220406,000000,50.6671,51.3952,49.5653,51.0312,148344.91765553,0
WLY.US,D,20220407,000000,50.8049,51.2083,49.821,51.0115,169254.04364111,0
WLY.US,D,20220408,000000,50.5589,51.7642,50.3868,51.6116,175612.87365257,0
WLY.US,D,20220411,000000,51.7101,52.0692,50.2147,51.8576,247965.91021044,0
WLY.US,D,20220412,000000,52.566,53.105,51.8871,52.3889,223818.41587182,0
WLY.US,D,20220413,000000,52.6742,53.2054,52.0445,53.0776,154426.26035991,0
WLY.US,D,20220414,000000,53.2054,53.8942,52.5364,52.7529,164072.24770146,0
WLY.US,D,20220418,000000,52.7726,53.4611,52.3298,52.6348,133065.83633642,0
WLY.US,D,20220419,000000,52.9595,53.7958,52.8808,53.6777,136321.48411883,0
WLY.US,D,20220420,000000,54.0122,54.8091,53.7761,54.022,170180.01776842,0
WLY.US,D,20220421,000000,54.3073,54.4057,53.3334,53.5596,191237.54355926,0
WLY.US,D,20220422,000000,52.93,53.107,51.3559,51.533,170384.3216099,0
WLY.US,D,20220425,000000,51.3362,51.3362,49.4522,50.7853,316693.31590977,0
WLY.US,D,20220426,000000,50.2245,50.7951,49.5357,49.585,231301.42522994,0
WLY.US,D,20220427,000000,49.644,50.5245,49.2308,49.6145,234341.58836362,0
WLY.US,D,20220428,000000,49.8899,50.9624,48.916,50.736,207913.20934699,0
WLY.US,D,20220429,000000,50.5393,51.4739,49.8112,50.067,1377114.6174681,0
WLY.US,D,20220502,000000,50.5295,50.9524,48.3404,49.339,246911.86501831,0
WLY.US,D,20220503,000000,49.1816,50.4016,48.6798,49.034,453185.56144834,0
WLY.US,D,20220504,000000,49.0833,50.4212,48.6209,50.3622,240266.39976657,0
WLY.US,D,20220505,000000,49.9883,50.1949,49.1324,49.644,179657.27656428,0
WLY.US,D,20220506,000000,49.6637,49.703,48.1388,48.9849,215579.17736912,0
WLY.US,D,20220509,000000,48.4142,49.703,48.3995,49.2702,213130.58058242,0
WLY.US,D,20220510,000000,49.9588,49.9588,48.1584,49.4177,206687.38629811,0
WLY.US,D,20220511,000000,49.7621,50.6869,49.2702,49.3193,178433.48638943,0
WLY.US,D,20220512,000000,49.5063,49.8703,48.5125,49.4866,211667.92770734,0
WLY.US,D,20220513,000000,49.8801,50.5786,49.6041,50.008,155476.23980393,0
WLY.US,D,20220516,000000,50.1064,50.254,49.4866,49.831,138368.58828172,0
WLY.US,D,20220517,000000,50.4704,51.0608,50.4261,50.8442,105550.88614296,0
WLY.US,D,20220518,000000,50.5393,50.8148,49.7817,50.0474,122087.30005864,0
WLY.US,D,20220519,000000,49.8899,50.4261,49.585,49.8506,141799.06323196,0
WLY.US,D,20220520,000000,50.3425,50.4434,49.1619,49.9785,138714.1768693,0
WLY.US,D,20220523,000000,50.5491,50.9328,49.9883,50.4016,135266.42248969,0
WLY.US,D,20220524,000000,50.0474,50.313,48.9356,50.1556,114719.14808404,0
WLY.US,D,20220525,000000,50.0376,50.8837,50.0376,50.6671,90140.684447981,0
WLY.US,D,20220526,000000,51.1295,51.7297,50.9524,51.533,110902.42706533,0
WLY.US,D,20220527,000000,51.9658,53.0628,51.8379,52.989,130779.86947329,0
WLY.US,D,20220531,000000,52.5364,53.1366,51.5428,52.1036,187024.41210185,0
WLY.US,D,20220601,000000,52.32,52.8808,51.8085,52.2905,164186.08864796,0
WLY.US,D,20220602,000000,52.6151,53.5007,52.0151,53.5007,140130.07364135,0
WLY.US,D,20220603,000000,53.3432,53.4809,52.5562,52.9497,117041.70667998,0
WLY.US,D,20220606,000000,53.4219,53.4219,52.5758,52.6446,127005.83880952,0
WLY.US,D,20220607,000000,52.4873,53.0136,52.2708,52.9103,146558.02137033,0
WLY.US,D,20220608,000000,52.7529,52.8217,51.5084,51.7396,138792.44252002,0
WLY.US,D,20220609,000000,51.5625,52.1626,51.3263,51.7789,132710.08337862,0
WLY.US,D,20220610,000000,51.2181,51.5257,50.067,50.6475,143363.35980927,0
WLY.US,D,20220613,000000,49.6341,49.9588,48.3404,48.5716,260346.11314196,0
WLY.US,D,20220614,000000,48.3454,48.4339,46.9385,47.332,204898.45713887,0
WLY.US,D,20220615,000000,48.0699,49.3723,46.3777,48.8569,266106.26174729,0
WLY.US,D,20220616,000000,47.5091,47.5288,45.2266,45.4037,300568.55898813,0
WLY.US,D,20220617,000000,45.6693,46.5941,45.4037,45.994,313559.64057004,0
WLY.US,D,20220621,000000,46.5646,46.5646,45.3643,45.512,288001.33164449,0
WLY.US,D,20220622,000000,45.2167,46.0826,45.0347,45.2463,235201.49408449,0
WLY.US,D,20220623,000000,45.5316,46.0234,44.9019,45.5414,204000.94324818,0
WLY.US,D,20220624,000000,45.8169,46.9287,45.8169,46.8499,1417100.2334881,0
WLY.US,D,20220627,000000,47.2828,48.1781,46.7122,47.883,226923.63097493,0
WLY.US,D,20220628,000000,48.3552,48.7192,47.2926,47.3222,254776.0382598,0
WLY.US,D,20220629,000000,47.0467,47.5288,46.6236,47.3418,143522.94042177,0
WLY.US,D,20220630,000000,46.9385,47.332,46.6138,46.9876,181330.33190297,0
WLY.US,D,20220701,000000,46.6334,47.4402,46.4663,47.2926,168929.800231,0
WLY.US,D,20220705,000000,46.4077,46.5167,45.5951,45.9519,275604.30913056,0
WLY.US,D,20220706,000000,46.0609,46.1104,44.8221,45.7834,202776.57252395,0
