<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSM.US,D,20050225,000000,25.8346,26.129,25.5127,25.9936,777424.15114289,0
WSM.US,D,20050228,000000,26.0084,26.3047,25.9127,26.208,549880.36200843,0
WSM.US,D,20050301,000000,26.3117,26.8549,26.3047,26.8263,1040054.6658509,0
WSM.US,D,20050302,000000,26.8203,26.8905,26.3482,26.444,691647.82459997,0
WSM.US,D,20050303,000000,26.5922,26.7403,25.9354,26.2959,760220.48755761,0
WSM.US,D,20050304,000000,26.2959,26.2959,25.6559,26.0618,2074555.6800766,0
WSM.US,D,20050307,000000,26.0243,26.1526,25.804,26.0322,1022450.0458311,0
WSM.US,D,20050308,000000,26.2149,26.4094,25.9037,26.0401,922511.65451463,0
WSM.US,D,20050309,000000,26.0401,26.5536,25.9285,26.4589,1486025.5478146,0
WSM.US,D,20050310,000000,26.5832,26.7887,26.4589,26.6277,1028409.7164722,0
WSM.US,D,20050311,000000,26.5922,26.7956,26.4855,26.6277,1159454.6319878,0
WSM.US,D,20050314,000000,26.7344,26.8549,26.6139,26.7887,862945.32359108,0
WSM.US,D,20050315,000000,26.8203,27.2479,26.8203,27.1344,1266548.4756353,0
WSM.US,D,20050316,000000,27.1344,27.1887,26.605,26.6356,1071431.5318885,0
WSM.US,D,20050317,000000,26.6435,26.7403,26.3936,26.6188,875911.60667465,0
WSM.US,D,20050318,000000,26.6277,26.6277,26.371,26.4509,1437440.9681268,0
WSM.US,D,20050321,000000,26.5013,26.6277,26.1842,26.5013,1227364.0968023,0
WSM.US,D,20050322,000000,26.53,27.9106,26.5013,27.6421,2861243.3423808,0
WSM.US,D,20050323,000000,27.6104,27.6786,27.3092,27.5887,1410568.7868807,0
WSM.US,D,20050324,000000,27.723,27.9442,27.4889,27.5462,2279203.4392744,0
WSM.US,D,20050328,000000,27.3092,27.6835,27.1344,27.3694,2141667.282087,0
WSM.US,D,20050329,000000,27.3852,27.7487,27.2954,27.4653,1352592.1064679,0
WSM.US,D,20050330,000000,27.5739,28.3216,27.5739,28.2514,1438500.0601232,0
WSM.US,D,20050331,000000,28.2514,28.286,27.6786,27.7615,1033831.7409851,0
WSM.US,D,20050401,000000,27.8978,27.9442,27.165,27.2263,1006958.5472227,0
WSM.US,D,20050404,000000,27.2263,27.3694,27.0129,27.165,1496876.6844543,0
WSM.US,D,20050405,000000,27.1956,27.7704,27.1956,27.5384,644258.01408585,0
WSM.US,D,20050406,000000,27.723,27.7615,27.4159,27.4455,532141.07732746,0
WSM.US,D,20050407,000000,27.4515,27.6914,27.33,27.4978,947658.50807263,0
WSM.US,D,20050408,000000,27.3852,27.4889,27.0751,27.1729,710448.22630979,0
WSM.US,D,20050411,000000,27.3852,27.4583,27.2173,27.2795,434183.16779388,0
WSM.US,D,20050412,000000,27.1956,27.2647,26.7077,27.1956,1115509.4017525,0
WSM.US,D,20050413,000000,27.2737,27.3536,26.7403,26.758,774517.21699226,0
WSM.US,D,20050414,000000,26.7265,26.8421,26.2366,26.3344,1654270.3103153,0
WSM.US,D,20050415,000000,25.9878,26.0618,25.3073,25.4278,1671606.6135292,0
WSM.US,D,20050418,000000,25.6104,26.2613,25.4514,26.1932,1477149.8303767,0
WSM.US,D,20050419,000000,26.3413,26.3858,25.8751,25.9778,835539.54628175,0
WSM.US,D,20050420,000000,26.0618,26.0618,25.3833,25.4663,1334720.1821583,0
WSM.US,D,20050421,000000,25.9878,26.0934,25.5275,26.0845,964210.11119361,0
WSM.US,D,20050422,000000,26.0243,26.0243,25.3073,25.4445,1292359.5398526,0
WSM.US,D,20050425,000000,25.4514,25.7962,25.3131,25.7319,726336.63128774,0
WSM.US,D,20050426,000000,25.648,26.0036,25.406,25.6252,824552.7324648,0
WSM.US,D,20050427,000000,25.6312,26.2455,25.3685,25.964,1070899.9608578,0
WSM.US,D,20050428,000000,25.9285,25.9285,25.3527,25.4356,1498203.0807403,0
WSM.US,D,20050429,000000,25.4356,25.4584,24.7413,25.2983,2866147.9710905,0
WSM.US,D,20050502,000000,25.2983,25.8277,25.2598,25.7487,1287592.6133527,0
WSM.US,D,20050503,000000,25.725,26.0559,25.7171,25.9571,1066528.9282113,0
WSM.US,D,20050504,000000,26.1003,26.363,25.964,26.3562,822039.66713499,0
