<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XFIV.US,D,20220920,000000,49.3197,49.3197,49.2406,49.2406,203.6187238624,0
XFIV.US,D,20220921,000000,49.2845,49.2845,49.2845,49.2845,13.0396227104,0
XFIV.US,D,20220922,000000,48.8519,48.8519,48.8519,48.8519,1.0030479008,0
XFIV.US,D,20220923,000000,48.7713,48.7713,48.7592,48.7592,202.6156759616,0
XFIV.US,D,20220926,000000,48.5321,48.5321,48.2966,48.2966,100.30479008,0
XFIV.US,D,20220927,000000,48.1532,48.1532,48.138,48.138,300.91437024,0
XFIV.US,D,20220928,000000,48.6118,48.8609,48.6118,48.8609,200.60958016,0
XFIV.US,D,20220929,000000,48.6925,48.6925,48.6717,48.6925,100.30479008,0
XFIV.US,D,20220930,000000,48.5201,48.5201,48.5201,48.5201,1.0030479008,0
XFIV.US,D,20221003,000000,48.9405,48.9405,48.9405,48.9405,1.0030479008,0
XFIV.US,D,20221004,000000,49.0994,49.1003,49.0756,49.0756,403.2252561216,0
XFIV.US,D,20221005,000000,48.779,48.779,48.779,48.779,2.0060958016,0
XFIV.US,D,20221006,000000,48.588,48.588,48.588,48.588,2.0060958016,0
XFIV.US,D,20221007,000000,48.4124,48.4124,48.3925,48.3925,301.9174181408,0
XFIV.US,D,20221010,000000,48.3028,48.3028,48.2031,48.243,2107.4036395808,0
XFIV.US,D,20221011,000000,48.327,48.327,48.327,48.327,1.0030479008,0
XFIV.US,D,20221012,000000,48.4513,48.4513,48.4513,48.4513,1.0030479008,0
XFIV.US,D,20221013,000000,47.9538,48.2385,47.9538,48.2385,300.91437024,0
XFIV.US,D,20221014,000000,48.4124,48.4124,48.1128,48.1128,310.944849248,0
XFIV.US,D,20221017,000000,48.1503,48.1503,48.1503,48.1503,3.0091437024,0
XFIV.US,D,20221018,000000,48.2629,48.2629,48.2629,48.2629,1.0030479008,0
XFIV.US,D,20221019,000000,47.9372,47.9372,47.9372,47.9372,1.0030479008,0
XFIV.US,D,20221020,000000,47.7035,47.7035,47.7035,47.7035,1.0030479008,0
XFIV.US,D,20221021,000000,47.8342,47.9436,47.8342,47.9436,100.30479008,0
XFIV.US,D,20221024,000000,47.9238,47.9238,47.9238,47.9238,2.0060958016,0
XFIV.US,D,20221025,000000,48.233,48.233,48.2209,48.2209,200.60958016,0
XFIV.US,D,20221026,000000,48.3481,48.3481,48.3481,48.3481,1.0030479008,0
XFIV.US,D,20221027,000000,48.4922,48.6218,48.4922,48.6218,601.82874048,0
XFIV.US,D,20221028,000000,48.3984,48.3984,48.3984,48.3984,2.0060958016,0
XFIV.US,D,20221031,000000,48.2828,48.2978,48.2147,48.2147,401.21916032,0
XFIV.US,D,20221101,000000,48.0055,48.0055,48.0055,48.0055,1.0030479008,0
XFIV.US,D,20221102,000000,48.0336,48.2629,47.9635,47.9635,817.484039152,0
XFIV.US,D,20221103,000000,47.7943,47.8068,47.7943,47.8068,105.320029584,0
XFIV.US,D,20221104,000000,47.8515,47.8515,47.8515,47.8515,1.0030479008,0
XFIV.US,D,20221107,000000,47.7544,47.7544,47.7376,47.7376,502.5269983008,0
XFIV.US,D,20221108,000000,47.9276,47.9276,47.9276,47.9276,2.0060958016,0
XFIV.US,D,20221109,000000,47.9708,48.0834,47.9708,48.083,469.4264175744,0
XFIV.US,D,20221110,000000,48.8325,48.8325,48.8325,48.8325,60.182874048,0
XFIV.US,D,20221111,000000,48.7614,48.7614,48.7614,48.7614,619.8836026944,0
XFIV.US,D,20221114,000000,48.696,48.696,48.696,48.696,16.0487664128,0
XFIV.US,D,20221115,000000,48.9406,48.9406,48.9406,48.9406,60.182874048,0
XFIV.US,D,20221116,000000,49.0405,49.1253,49.0405,49.1253,747.270686096,0
XFIV.US,D,20221117,000000,48.9148,48.9148,48.9148,48.9148,60.182874048,0
XFIV.US,D,20221118,000000,48.7672,48.7672,48.7672,48.7672,60.182874048,0
XFIV.US,D,20221121,000000,48.7486,48.7486,48.7486,48.7486,2.0060958016,0
XFIV.US,D,20221122,000000,48.8661,48.8661,48.8661,48.8661,41.1249639328,0
XFIV.US,D,20221123,000000,49.007,49.007,49.007,49.007,27.0822933216,0
XFIV.US,D,20221125,000000,49.0134,49.0134,49.0134,49.0134,2.0060958016,0
XFIV.US,D,20221128,000000,49.0409,49.0409,49.0409,49.0409,41.1249639328,0
XFIV.US,D,20221129,000000,48.9335,48.9335,48.9335,48.9335,41.1249639328,0
XFIV.US,D,20221130,000000,49.2142,49.2142,49.2142,49.2142,41.1249639328,0
XFIV.US,D,20221201,000000,49.6248,49.6248,49.6248,49.6248,41,0
XFIV.US,D,20221202,000000,49.6565,49.6565,49.6565,49.6565,30,0
XFIV.US,D,20221205,000000,49.46,49.46,49.3089,49.3089,400,0
XFIV.US,D,20221206,000000,49.4611,49.4611,49.4611,49.4611,70,0
XFIV.US,D,20221207,000000,49.7721,49.7721,49.7721,49.7721,22,0
XFIV.US,D,20221208,000000,49.5679,49.5679,49.5679,49.5679,1,0
XFIV.US,D,20221209,000000,49.4275,49.4275,49.4275,49.4275,1,0
XFIV.US,D,20221212,000000,49.3485,49.3485,49.3485,49.3485,2,0
XFIV.US,D,20221213,000000,49.8793,49.8927,49.6796,49.6796,1101,0
XFIV.US,D,20221214,000000,49.7805,49.7805,49.7805,49.7805,1,0
XFIV.US,D,20221215,000000,49.8153,49.8153,49.8153,49.8153,1,0
XFIV.US,D,20221216,000000,49.8301,49.8307,49.7855,49.7855,506,0
XFIV.US,D,20221219,000000,49.5678,49.5678,49.5678,49.5678,6,0
XFIV.US,D,20221220,000000,49.365,49.365,49.365,49.365,6,0
XFIV.US,D,20221221,000000,49.4085,49.4085,49.4085,49.4085,6,0
XFIV.US,D,20221222,000000,49.465,49.465,49.3948,49.3948,400,0
XFIV.US,D,20221223,000000,49.26,49.26,49.26,49.26,131,0
XFIV.US,D,20221227,000000,49.0146,49.0146,49.0146,49.0146,2,0
XFIV.US,D,20221228,000000,48.9559,48.9559,48.9559,48.9559,2,0
XFIV.US,D,20221229,000000,48.9,48.9,48.9,48.9,1,0
XFIV.US,D,20221230,000000,48.8,48.8,48.8,48.8,2,0
XFIV.US,D,20230103,000000,48.9577,48.9577,48.9577,48.9577,2,0
XFIV.US,D,20230104,000000,49.1792,49.1792,49.1792,49.1792,2,0
XFIV.US,D,20230105,000000,49.0795,49.0795,49.0795,49.0795,9,0
XFIV.US,D,20230106,000000,49.565,49.565,49.565,49.565,63,0
XFIV.US,D,20230109,000000,49.675,49.675,49.675,49.675,1,0
XFIV.US,D,20230110,000000,49.525,49.525,49.525,49.525,3,0
XFIV.US,D,20230111,000000,49.7,49.7,49.7,49.7,3,0
XFIV.US,D,20230112,000000,49.89,50.0397,49.89,50.0397,300898,0
XFIV.US,D,20230113,000000,49.8461,49.8461,49.8461,49.8461,10,0
XFIV.US,D,20230117,000000,49.81,49.8218,49.81,49.8218,302,0
XFIV.US,D,20230118,000000,50.1799,50.275,50.1799,50.275,200,0
XFIV.US,D,20230119,000000,50.185,50.185,50.185,50.185,3,0
XFIV.US,D,20230120,000000,49.9726,49.9726,49.9726,49.9726,3,0
XFIV.US,D,20230123,000000,49.835,49.835,49.835,49.835,48,0
XFIV.US,D,20230124,000000,49.975,49.975,49.975,49.975,4,0
XFIV.US,D,20230125,000000,50.03,50.03,50.03,50.03,2,0
XFIV.US,D,20230126,000000,49.915,49.915,49.915,49.915,2,0
XFIV.US,D,20230127,000000,49.85,49.85,49.85,49.85,10,0
XFIV.US,D,20230130,000000,49.76,49.76,49.7392,49.7392,133,0
XFIV.US,D,20230131,000000,49.8866,49.8866,49.8866,49.8866,2,0
XFIV.US,D,20230201,000000,49.84,50.103,49.8,50.103,300,0
XFIV.US,D,20230202,000000,50.0939,50.0939,50.0939,50.0939,2,0
XFIV.US,D,20230203,000000,49.73,49.73,49.675,49.675,300,0
XFIV.US,D,20230206,000000,49.3024,49.3024,49.3024,49.3024,2,0
XFIV.US,D,20230207,000000,49.38,49.38,49.2779,49.2779,101,0
XFIV.US,D,20230208,000000,49.3604,49.3604,49.3604,49.3604,2,0
XFIV.US,D,20230209,000000,49.22,49.22,49.22,49.22,2,0
XFIV.US,D,20230210,000000,49.07,49.07,49.07,49.07,2,0
XFIV.US,D,20230213,000000,49.1259,49.1259,49.1259,49.1259,2,0
XFIV.US,D,20230214,000000,49.38,49.38,48.9148,48.9148,2,0
XFIV.US,D,20230215,000000,48.8421,48.8421,48.8421,48.8421,2,0
XFIV.US,D,20230216,000000,48.772,48.772,48.772,48.772,2,0
XFIV.US,D,20230217,000000,48.875,48.875,48.875,48.875,2,0
XFIV.US,D,20230221,000000,48.535,48.535,48.535,48.535,2,0
XFIV.US,D,20230222,000000,48.5704,48.5704,48.5704,48.5704,10,0
XFIV.US,D,20230223,000000,48.6975,48.6975,48.6975,48.6975,2,0
XFIV.US,D,20230224,000000,48.456,48.456,48.456,48.456,2,0
XFIV.US,D,20230227,000000,48.5559,48.5559,48.5559,48.5559,1,0
XFIV.US,D,20230228,000000,48.5743,48.5743,48.5743,48.5743,12,0
XFIV.US,D,20230301,000000,48.2053,48.21,48.2053,48.21,442,0
XFIV.US,D,20230302,000000,48.0718,48.0718,48.0718,48.0718,2,0
XFIV.US,D,20230303,000000,48.2584,48.2584,48.2584,48.2584,7,0
XFIV.US,D,20230306,000000,48.28,48.28,48.2304,48.2304,767,0
XFIV.US,D,20230307,000000,48.1319,48.155,48.1319,48.155,244,0
XFIV.US,D,20230308,000000,48.115,48.115,48.115,48.115,26,0
XFIV.US,D,20230309,000000,48.28,48.4169,48.25,48.4169,408,0
XFIV.US,D,20230310,000000,49.025,49.025,49.025,49.025,12,0
XFIV.US,D,20230313,000000,49.949,49.949,49.6416,49.645,615,0
XFIV.US,D,20230314,000000,49.3211,49.3211,49.3211,49.3211,10,0
XFIV.US,D,20230315,000000,50.11,50.11,49.92,49.9482,200,0
XFIV.US,D,20230316,000000,49.5423,49.5423,49.5423,49.5423,10,0
XFIV.US,D,20230317,000000,50.07,50.2,50.07,50.0858,564,0
XFIV.US,D,20230320,000000,49.8321,49.8321,49.8321,49.8321,55,0
XFIV.US,D,20230321,000000,49.69,49.69,49.4889,49.4889,400,0
XFIV.US,D,20230322,000000,49.77,50.0469,49.77,50.0469,100,0
XFIV.US,D,20230323,000000,50.07,50.3123,50.07,50.3123,200,0
XFIV.US,D,20230324,000000,50.2998,50.2998,50.2998,50.2998,40,0
XFIV.US,D,20230327,000000,49.98,49.9875,49.8483,49.8483,243,0
XFIV.US,D,20230328,000000,49.765,49.765,49.765,49.765,55,0
XFIV.US,D,20230329,000000,49.711,49.711,49.6961,49.6961,1700,0
XFIV.US,D,20230330,000000,49.7461,49.7461,49.7461,49.7461,4,0
XFIV.US,D,20230331,000000,49.9482,49.9482,49.9482,49.9482,96,0
XFIV.US,D,20230403,000000,49.74,49.985,49.74,49.985,350,0
XFIV.US,D,20230404,000000,49.95,50.3,49.95,50.2701,9550,0
XFIV.US,D,20230405,000000,50.51,50.52,50.38,50.38,3101,0
XFIV.US,D,20230406,000000,50.3999,50.409,50.3806,50.3806,5646,0
XFIV.US,D,20230410,000000,49.99,50.02,49.99,50.015,1075,0
XFIV.US,D,20230411,000000,50.01,50.01,49.95,49.9898,5905,0
XFIV.US,D,20230412,000000,50.06,50.1305,50.06,50.1305,401,0
XFIV.US,D,20230413,000000,50.25,50.25,50.07,50.08,3805,0
XFIV.US,D,20230414,000000,49.83,49.83,49.83,49.83,1,0
XFIV.US,D,20230417,000000,49.635,49.635,49.635,49.635,4,0
XFIV.US,D,20230418,000000,49.665,49.665,49.665,49.665,4,0
XFIV.US,D,20230419,000000,49.59,49.59,49.59,49.59,4,0
XFIV.US,D,20230420,000000,49.8,49.8,49.8,49.8,4,0
XFIV.US,D,20230421,000000,49.9,49.9,49.735,49.735,100,0
XFIV.US,D,20230424,000000,49.9,49.9,49.9,49.9,91,0
XFIV.US,D,20230425,000000,50.32,50.32,50.32,50.32,61,0
XFIV.US,D,20230426,000000,50.17,50.17,50.17,50.17,8,0
XFIV.US,D,20230427,000000,49.8851,49.8851,49.8851,49.8851,10,0
XFIV.US,D,20230428,000000,50.1412,50.1412,50.1412,50.1412,61,0
XFIV.US,D,20230501,000000,49.64,49.64,49.64,49.64,1,0
XFIV.US,D,20230502,000000,50.11,50.11,50.11,50.11,40,0
XFIV.US,D,20230503,000000,50.2667,50.4014,50.2667,50.4014,1122,0
XFIV.US,D,20230504,000000,50.495,50.495,50.495,50.495,154,0
XFIV.US,D,20230505,000000,50.225,50.225,50.225,50.225,2,0
XFIV.US,D,20230508,000000,50.0363,50.0363,50.0363,50.0363,4,0
XFIV.US,D,20230509,000000,50.0068,50.0068,49.995,49.995,1001,0
XFIV.US,D,20230510,000000,50.24,50.3,50.24,50.3,101,0
XFIV.US,D,20230511,000000,50.3873,50.3873,50.3873,50.3873,1,0
XFIV.US,D,20230512,000000,50.24,50.24,50.1557,50.1661,1694,0
XFIV.US,D,20230515,000000,50.13,50.13,50.13,50.13,1,0
XFIV.US,D,20230516,000000,49.95,50.0105,49.95,50.0105,100,0
XFIV.US,D,20230517,000000,49.8373,49.8373,49.8373,49.8373,1,0
XFIV.US,D,20230518,000000,49.615,49.615,49.615,49.615,1,0
XFIV.US,D,20230519,000000,49.43,49.53,49.43,49.4492,1562,0
XFIV.US,D,20230522,000000,49.4303,49.4303,49.4303,49.4303,2,0
XFIV.US,D,20230523,000000,49.4,49.4703,49.39,49.4703,601,0
XFIV.US,D,20230524,000000,49.3847,49.3847,49.3847,49.3847,1,0
XFIV.US,D,20230525,000000,49.175,49.175,49.08,49.08,102,0
XFIV.US,D,20230526,000000,49.03,49.03,49.03,49.03,666,0
XFIV.US,D,20230530,000000,49.2928,49.3673,49.2928,49.3673,612,0
XFIV.US,D,20230531,000000,49.4771,49.5495,49.415,49.5495,1620,0
XFIV.US,D,20230601,000000,49.46,49.51,49.46,49.4776,1244,0
XFIV.US,D,20230602,000000,49.42,49.42,49.1299,49.155,5282,0
XFIV.US,D,20230605,000000,49.25,49.25,49.161,49.19,2363,0
XFIV.US,D,20230606,000000,49.13,49.15,49.13,49.15,201,0
XFIV.US,D,20230607,000000,49.02,49.02,48.91,48.9401,456,0
XFIV.US,D,20230608,000000,49.12,49.1749,49.12,49.1749,808,0
XFIV.US,D,20230609,000000,49.03,49.0567,49.01,49.01,2014,0
XFIV.US,D,20230612,000000,48.95,49.085,48.95,49.085,503,0
XFIV.US,D,20230613,000000,49.16,49.19,48.815,48.815,3187,0
XFIV.US,D,20230614,000000,48.93,48.94,48.76,48.8424,701,0
XFIV.US,D,20230615,000000,49.08,49.105,49.07,49.105,412,0
XFIV.US,D,20230616,000000,48.915,48.915,48.915,48.915,14,0
XFIV.US,D,20230620,000000,49.04,49.04,49.015,49.015,100,0
XFIV.US,D,20230621,000000,48.93,49.02,48.93,49.015,305,0
XFIV.US,D,20230622,000000,48.85,48.85,48.835,48.835,201,0
XFIV.US,D,20230623,000000,48.955,48.955,48.955,48.955,3,0
XFIV.US,D,20230626,000000,49,49.0383,49,49.0383,453,0
XFIV.US,D,20230627,000000,48.8953,48.8953,48.8817,48.8817,1049,0
XFIV.US,D,20230628,000000,49.0366,49.0366,49.0366,49.0366,1,0
XFIV.US,D,20230629,000000,48.66,48.685,48.6418,48.685,2286,0
XFIV.US,D,20230630,000000,48.7006,48.7006,48.7006,48.7006,1,0
XFIV.US,D,20230703,000000,48.4494,48.4494,48.4494,48.4494,11,0
XFIV.US,D,20230705,000000,48.2953,48.2953,48.2953,48.2953,8,0
XFIV.US,D,20230706,000000,48.0225,48.0225,48.0225,48.0225,60,0
XFIV.US,D,20230707,000000,48.04,48.04,48.04,48.04,83,0
XFIV.US,D,20230710,000000,48.2799,48.2799,48.2799,48.2799,2,0
XFIV.US,D,20230711,000000,48.305,48.305,48.305,48.305,31,0
XFIV.US,D,20230712,000000,48.7025,48.7025,48.7025,48.7025,20,0
XFIV.US,D,20230713,000000,49.0361,49.0361,49.0361,49.0361,19,0
XFIV.US,D,20230714,000000,48.815,48.815,48.815,48.815,1,0
XFIV.US,D,20230717,000000,48.87,48.87,48.87,48.87,16,0
XFIV.US,D,20230718,000000,48.905,48.905,48.905,48.905,1,0
XFIV.US,D,20230719,000000,48.99,48.99,48.99,48.99,93,0
XFIV.US,D,20230720,000000,48.7357,48.7357,48.7357,48.7357,1,0
XFIV.US,D,20230721,000000,48.7386,48.7386,48.7386,48.7386,1,0
XFIV.US,D,20230724,000000,48.63,48.63,48.63,48.63,13,0
XFIV.US,D,20230725,000000,48.5618,48.5618,48.5618,48.5618,134,0
XFIV.US,D,20230726,000000,48.7092,48.7092,48.7092,48.7092,3,0
XFIV.US,D,20230727,000000,48.375,48.375,48.375,48.375,24,0
XFIV.US,D,20230728,000000,48.5,48.52,48.5,48.5052,17471,0
XFIV.US,D,20230731,000000,48.579,48.599,48.5255,48.5255,2300,0
XFIV.US,D,20230801,000000,48.199,48.26,48.199,48.26,1339,0
XFIV.US,D,20230802,000000,48.1295,48.22,48.1295,48.22,2079,0
XFIV.US,D,20230803,000000,48.0999,48.0999,48.0405,48.0405,256,0
