Date,Equity
19710104,98896.867400209
19710105,99901.982683209
19710106,100841.97418320901
19710107,101694.892550209
19710108,101726.87918920901
19710111,102201.117848209
19710112,103532.769672209
19710113,103459.424599209
19710114,103752.282762209
19710115,103638.837885209
19710118,103477.714215209
19710119,103772.043799209
19710120,103532.563943209
19710121,103551.380618209
19710122,104173.887186209
19710125,104824.962798209
19710126,104932.005287209
19710127,104242.548678209
19710128,104570.349071209
19710129,105094.792400209
19710201,106248.755834209
19710202,106200.332664209
19710203,106494.764846209
19710204,106692.916926209
19710205,107835.114907209
19710208,108913.764552209
19710209,108573.036063209
19710210,109037.703466209
19710211,109325.919954209
19710212,109531.157168209
19710216,109575.646062209
19710217,109301.580448209
19710218,108782.069141209
19710219,107835.860817209
19710222,106594.596201209
19710223,107351.232046209
19710224,108338.22038420901
19710225,108469.00827120901
19710226,108097.560196209
19710301,109057.606188209
19710302,109605.380839209
19710303,108651.346321209
19710304,110314.490237209
19710305,111423.379616209
19710308,112753.863654509
19710309,113225.737131509
19710310,113588.764825509
19710311,113236.128828509
19710312,113188.516911509
19710315,114806.370129509
19710316,115601.397826509
19710317,115516.26140550901
19710318,115533.13031850901
19710319,114899.702804509
19710322,114566.008287509
19710323,114401.553237509
19710324,113909.263942509
19710325,113908.091450509
19710326,114209.186971509
19710329,114198.131706509
19710330,113991.609920509
19710331,114454.06128250899
19710401,114340.669624509
19710402,114294.883702509
19710405,114370.110042509
19710406,113794.100309317
19710407,114629.68814131699
19710408,114538.13436531699
19710412,115240.754627317
19710413,115350.218483317
19710414,115965.990103317
19710415,116297.09505831699
19710416,116671.416033317
19710419,117730.781536317
19710420,117131.151442317
19710421,117332.68504731699
19710422,117499.914448317
19710423,118350.893531317
19710426,118829.989161317
19710427,118553.327781317
19710428,119356.343957317
19710429,118997.030152317
19710430,118302.23327531699
19710503,117299.264839317
19710504,118358.044970317
19710505,118756.482008317
19710506,118598.854089317
19710507,118314.124947317
19710510,117954.564359317
19710511,118934.092735317
19710512,119580.91044231699
19710513,119561.726127317
19710514,119371.045450317
19710517,117136.54915431699
